Trip_Type,Destination_Climate,Trip_Duration,Gender,Planned_Activity,Travel_Type,Accommodation_Type,Essential_Item_Categories
Adventure,Hot,19,Other,Skiing,Bus,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,6,Male,Skiing,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,12,Male,Skiing,Flight,Hostel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,13,Male,Shopping,Bus,Hostel,"Clothes, Toiletries"
Vacation,Cold,10,Other,Swimming,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,4,Other,Shopping,Car,Hotel,"Clothes, Gadgets"
Adventure,Cold,18,Female,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,2,Female,Swimming,Train,Hostel,"Clothes, Toiletries"
Business,Hot,2,Female,Meetings,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,1,Female,Meetings,Flight,Tent,"Documents, Clothes, Gadgets"
Adventure,Hot,11,Male,Skiing,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,1,Female,Skiing,Flight,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,4,Male,Skiing,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,12,Male,Shopping,Bus,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,1,Female,Swimming,Train,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Rainy,7,Other,Hiking,Car,Hotel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,13,Female,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Hot,8,Female,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,8,Female,Meetings,Train,Hostel,"Documents, Clothes, Gadgets"
Adventure,Hot,7,Male,Shopping,Train,Hotel,"Clothes, Toiletries"
Adventure,Hot,5,Other,Swimming,Train,Hotel,"Clothes, Toiletries"
Business,Cold,12,Other,Hiking,Car,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,6,Other,Hiking,Car,Tent,"Outdoor Gear, Clothes"
Business,Rainy,9,Female,Meetings,Bus,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,2,Female,Swimming,Flight,Hostel,"Clothes, Toiletries"
Business,Rainy,4,Male,Meetings,Car,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Rainy,17,Male,Sightseeing,Car,Hotel,"Clothes, Gadgets"
Business,Rainy,17,Female,Hiking,Car,Hotel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Rainy,19,Female,Shopping,Train,Hotel,"Clothes, Gadgets"
Vacation,Hot,12,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,14,Other,Swimming,Flight,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,5,Female,Skiing,Flight,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,20,Female,Sightseeing,Flight,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,8,Other,Swimming,Flight,Airbnb,"Clothes, Toiletries"
Business,Hot,9,Female,Meetings,Car,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Rainy,1,Female,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,17,Other,Sightseeing,Bus,Hotel,"Outdoor Gear, Clothes"
Business,Hot,16,Female,Swimming,Flight,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,13,Male,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Cold,4,Male,Sightseeing,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Hot,12,Other,Shopping,Flight,Airbnb,"Clothes, Toiletries"
Vacation,Hot,19,Male,Hiking,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,5,Female,Sightseeing,Train,Tent,"Clothes, Gadgets"
Vacation,Rainy,7,Male,Skiing,Car,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,16,Female,Hiking,Train,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,2,Female,Shopping,Car,Hotel,"Outdoor Gear, Clothes"
Adventure,Hot,6,Female,Swimming,Car,Airbnb,"Clothes, Toiletries"
Vacation,Rainy,16,Female,Swimming,Bus,Tent,"Toiletries, Clothes, Gadgets"
Business,Cold,16,Male,Shopping,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,16,Male,Sightseeing,Flight,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,16,Other,Skiing,Bus,Hotel,"Outdoor Gear, Clothes"
Business,Hot,19,Male,Sightseeing,Train,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,2,Female,Meetings,Train,Airbnb,"Documents, Outdoor Gear, Clothes"
Business,Rainy,17,Female,Hiking,Flight,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Hot,8,Male,Shopping,Flight,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,7,Female,Shopping,Flight,Hostel,"Clothes, Gadgets"
Business,Rainy,17,Female,Sightseeing,Train,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,7,Other,Swimming,Bus,Hotel,"Clothes, Toiletries"
Adventure,Rainy,8,Other,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,2,Other,Hiking,Train,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Hot,9,Female,Skiing,Train,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,7,Female,Sightseeing,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,17,Male,Hiking,Car,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Rainy,15,Male,Shopping,Car,Hostel,"Clothes, Gadgets"
Business,Rainy,3,Male,Hiking,Train,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Cold,5,Female,Skiing,Flight,Hotel,"Outdoor Gear, Clothes"
Business,Hot,16,Female,Sightseeing,Car,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,3,Female,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Vacation,Cold,9,Female,Meetings,Bus,Tent,"Documents, Outdoor Gear, Clothes"
Business,Cold,6,Other,Shopping,Flight,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,8,Female,Swimming,Train,Hostel,"Toiletries, Clothes, Gadgets"
Business,Cold,4,Male,Swimming,Bus,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Rainy,16,Male,Shopping,Bus,Airbnb,"Clothes, Gadgets"
Vacation,Hot,8,Other,Sightseeing,Bus,Tent,"Clothes, Toiletries"
Adventure,Rainy,1,Female,Skiing,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Cold,16,Other,Skiing,Car,Tent,"Outdoor Gear, Clothes"
Business,Rainy,4,Female,Sightseeing,Car,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,2,Other,Swimming,Bus,Hotel,"Clothes, Toiletries"
Vacation,Hot,20,Male,Meetings,Car,Airbnb,"Documents, Clothes, Toiletries"
Vacation,Hot,19,Female,Skiing,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,9,Female,Swimming,Car,Tent,"Clothes, Toiletries"
Adventure,Cold,11,Male,Hiking,Bus,Hotel,"Outdoor Gear, Clothes"
Business,Rainy,2,Other,Skiing,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Cold,18,Male,Hiking,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Hot,19,Female,Sightseeing,Flight,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,11,Female,Skiing,Train,Tent,"Outdoor Gear, Clothes"
Business,Rainy,20,Other,Hiking,Train,Hotel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Rainy,16,Female,Shopping,Train,Airbnb,"Clothes, Gadgets"
Business,Hot,6,Male,Swimming,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Hot,11,Male,Sightseeing,Train,Tent,"Clothes, Toiletries"
Adventure,Cold,21,Male,Meetings,Car,Hotel,"Documents, Outdoor Gear, Clothes"
Vacation,Rainy,13,Other,Meetings,Flight,Hotel,"Documents, Clothes, Gadgets"
Vacation,Rainy,10,Male,Shopping,Car,Hotel,"Clothes, Gadgets"
Vacation,Hot,10,Male,Shopping,Train,Airbnb,"Clothes, Toiletries"
Vacation,Hot,1,Female,Meetings,Flight,Hotel,"Documents, Clothes, Toiletries"
Vacation,Rainy,7,Other,Hiking,Car,Hostel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,20,Female,Skiing,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,11,Other,Skiing,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,10,Female,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,9,Other,Meetings,Flight,Tent,"Documents, Outdoor Gear, Clothes"
Vacation,Rainy,9,Male,Sightseeing,Car,Hostel,"Clothes, Gadgets"
Business,Cold,18,Other,Meetings,Car,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,3,Other,Sightseeing,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,18,Other,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Vacation,Hot,13,Male,Hiking,Bus,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,8,Male,Skiing,Flight,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Cold,11,Male,Swimming,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,16,Other,Meetings,Flight,Hostel,"Documents, Clothes, Gadgets"
Vacation,Rainy,11,Female,Sightseeing,Car,Airbnb,"Clothes, Gadgets"
Business,Hot,20,Female,Hiking,Flight,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,9,Male,Hiking,Train,Tent,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,1,Male,Skiing,Train,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,7,Male,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Rainy,20,Female,Sightseeing,Train,Hotel,"Clothes, Gadgets"
Business,Rainy,14,Female,Shopping,Train,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Hot,9,Male,Shopping,Car,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,5,Other,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,8,Female,Shopping,Flight,Tent,"Outdoor Gear, Clothes"
Adventure,Cold,8,Other,Hiking,Train,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,10,Male,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes"
Business,Hot,18,Male,Meetings,Flight,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,5,Male,Meetings,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,12,Female,Meetings,Bus,Hostel,"Documents, Clothes, Gadgets"
Adventure,Rainy,6,Other,Hiking,Bus,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,18,Other,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,3,Male,Shopping,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,5,Other,Hiking,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Cold,5,Male,Hiking,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,1,Other,Swimming,Train,Tent,"Clothes, Toiletries"
Vacation,Rainy,16,Female,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Vacation,Rainy,13,Female,Shopping,Flight,Hostel,"Clothes, Gadgets"
Adventure,Rainy,19,Male,Skiing,Flight,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,9,Other,Sightseeing,Bus,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,1,Male,Shopping,Flight,Tent,"Outdoor Gear, Clothes"
Business,Rainy,18,Other,Shopping,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,4,Other,Hiking,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,20,Female,Meetings,Train,Hotel,"Documents, Clothes, Gadgets"
Vacation,Rainy,15,Male,Sightseeing,Train,Hotel,"Clothes, Gadgets"
Business,Hot,10,Other,Hiking,Car,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Hot,12,Other,Swimming,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,14,Female,Shopping,Car,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,15,Female,Hiking,Train,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Hot,16,Other,Meetings,Flight,Hotel,"Documents, Clothes, Toiletries"
Vacation,Rainy,4,Other,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,21,Other,Shopping,Bus,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,15,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Rainy,16,Female,Swimming,Train,Hotel,"Toiletries, Clothes, Gadgets"
Adventure,Rainy,6,Male,Shopping,Train,Airbnb,"Clothes, Gadgets"
Business,Rainy,3,Female,Skiing,Train,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Hot,14,Male,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,13,Female,Meetings,Car,Tent,"Documents, Clothes, Toiletries"
Adventure,Cold,2,Other,Shopping,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Hot,11,Other,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,17,Female,Swimming,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,16,Male,Swimming,Bus,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,15,Other,Skiing,Bus,Tent,"Outdoor Gear, Clothes"
Adventure,Hot,13,Male,Swimming,Flight,Airbnb,"Clothes, Toiletries"
Adventure,Rainy,13,Male,Skiing,Train,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,4,Male,Swimming,Flight,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,19,Female,Hiking,Car,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,17,Female,Meetings,Flight,Airbnb,"Documents, Outdoor Gear, Clothes"
Business,Rainy,18,Female,Shopping,Train,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Business,Rainy,21,Other,Shopping,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,8,Female,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,7,Female,Sightseeing,Bus,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,21,Male,Shopping,Bus,Airbnb,"Clothes, Toiletries"
Vacation,Rainy,11,Male,Sightseeing,Bus,Hostel,"Clothes, Gadgets"
Vacation,Hot,8,Female,Shopping,Bus,Tent,"Clothes, Toiletries"
Vacation,Cold,16,Female,Meetings,Train,Airbnb,"Documents, Outdoor Gear, Clothes"
Business,Rainy,6,Male,Sightseeing,Bus,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Rainy,6,Female,Sightseeing,Bus,Airbnb,"Clothes, Gadgets"
Business,Hot,8,Male,Sightseeing,Car,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,6,Other,Hiking,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Hot,12,Other,Skiing,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,5,Female,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Adventure,Hot,13,Male,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,8,Male,Hiking,Car,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,8,Other,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,1,Other,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,17,Male,Swimming,Train,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Rainy,11,Male,Sightseeing,Car,Tent,"Clothes, Gadgets"
Vacation,Hot,3,Other,Swimming,Car,Hostel,"Clothes, Toiletries"
Vacation,Hot,21,Male,Swimming,Bus,Tent,"Clothes, Toiletries"
Business,Hot,21,Female,Swimming,Flight,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Rainy,4,Female,Swimming,Bus,Hotel,"Toiletries, Clothes, Gadgets"
Vacation,Cold,19,Female,Sightseeing,Flight,Hotel,"Outdoor Gear, Clothes"
Adventure,Rainy,15,Male,Sightseeing,Car,Tent,"Clothes, Gadgets"
Adventure,Rainy,5,Female,Sightseeing,Flight,Hostel,"Clothes, Gadgets"
Vacation,Hot,20,Other,Shopping,Bus,Hostel,"Clothes, Toiletries"
Vacation,Cold,18,Male,Swimming,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,1,Other,Hiking,Car,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Cold,20,Male,Meetings,Train,Hostel,"Documents, Outdoor Gear, Clothes"
Adventure,Hot,12,Other,Meetings,Bus,Hostel,"Documents, Clothes, Toiletries"
Vacation,Hot,2,Other,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Business,Rainy,8,Male,Shopping,Car,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,5,Male,Shopping,Flight,Hostel,"Clothes, Toiletries"
Vacation,Hot,5,Female,Meetings,Car,Hostel,"Documents, Clothes, Toiletries"
Business,Rainy,13,Male,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Rainy,5,Female,Hiking,Train,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,10,Female,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Hot,12,Female,Skiing,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,15,Male,Hiking,Train,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Hot,8,Male,Sightseeing,Train,Hotel,"Clothes, Toiletries"
Business,Hot,21,Other,Shopping,Car,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,10,Male,Swimming,Flight,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,9,Female,Sightseeing,Bus,Hotel,"Clothes, Gadgets"
Vacation,Cold,6,Other,Shopping,Flight,Airbnb,"Outdoor Gear, Clothes"
Business,Rainy,18,Other,Sightseeing,Car,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Cold,4,Male,Hiking,Flight,Tent,"Outdoor Gear, Clothes"
Vacation,Hot,15,Female,Meetings,Train,Airbnb,"Documents, Clothes, Toiletries"
Adventure,Cold,6,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,4,Other,Swimming,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,17,Female,Hiking,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,13,Other,Meetings,Train,Airbnb,"Documents, Clothes, Toiletries"
Business,Rainy,20,Other,Hiking,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Cold,1,Female,Shopping,Train,Tent,"Outdoor Gear, Clothes"
Business,Hot,5,Male,Hiking,Bus,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Hot,6,Female,Hiking,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,5,Female,Skiing,Car,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,15,Female,Skiing,Train,Hostel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Hot,3,Female,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,19,Male,Swimming,Car,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,7,Other,Skiing,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Cold,10,Male,Meetings,Flight,Tent,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,20,Female,Skiing,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,17,Other,Swimming,Train,Tent,"Clothes, Toiletries"
Business,Hot,6,Female,Skiing,Car,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Hot,20,Male,Sightseeing,Train,Hostel,"Clothes, Toiletries"
Business,Hot,13,Other,Sightseeing,Car,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Hot,3,Female,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,9,Male,Skiing,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,12,Other,Hiking,Bus,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Cold,19,Male,Shopping,Bus,Hostel,"Outdoor Gear, Clothes"
Business,Cold,19,Other,Shopping,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,20,Male,Shopping,Train,Airbnb,"Clothes, Toiletries"
Adventure,Hot,20,Female,Meetings,Flight,Airbnb,"Documents, Clothes, Toiletries"
Adventure,Cold,3,Female,Shopping,Bus,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,18,Female,Shopping,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,8,Other,Shopping,Flight,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,1,Other,Skiing,Flight,Hotel,"Outdoor Gear, Clothes"
Adventure,Hot,19,Female,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,19,Female,Skiing,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,20,Other,Hiking,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,5,Other,Skiing,Flight,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,20,Other,Shopping,Train,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,5,Male,Sightseeing,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Hot,9,Other,Meetings,Flight,Hostel,"Documents, Clothes, Toiletries"
Vacation,Rainy,19,Other,Hiking,Train,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,21,Male,Skiing,Car,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,10,Other,Sightseeing,Flight,Hotel,"Outdoor Gear, Clothes"
Vacation,Rainy,6,Other,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Vacation,Hot,21,Female,Meetings,Car,Tent,"Documents, Clothes, Toiletries"
Business,Rainy,1,Male,Shopping,Bus,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Cold,8,Other,Shopping,Bus,Tent,"Outdoor Gear, Clothes"
Adventure,Rainy,4,Other,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Hot,20,Female,Skiing,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,3,Female,Skiing,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,7,Other,Hiking,Car,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Rainy,4,Male,Skiing,Train,Hotel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Hot,12,Other,Sightseeing,Train,Tent,"Clothes, Toiletries"
Adventure,Cold,21,Female,Swimming,Flight,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,12,Male,Skiing,Flight,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,4,Male,Skiing,Bus,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,10,Male,Hiking,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Rainy,18,Female,Swimming,Train,Hostel,"Toiletries, Clothes, Gadgets"
Adventure,Hot,2,Male,Sightseeing,Flight,Hotel,"Clothes, Toiletries"
Vacation,Rainy,15,Male,Skiing,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,12,Other,Skiing,Train,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Hot,20,Other,Hiking,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,11,Female,Meetings,Flight,Tent,"Documents, Clothes, Gadgets"
Business,Rainy,16,Male,Swimming,Train,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,1,Female,Skiing,Train,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Hot,12,Male,Sightseeing,Bus,Hostel,"Clothes, Toiletries"
Adventure,Rainy,9,Female,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Hot,18,Other,Hiking,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,21,Female,Meetings,Train,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Cold,4,Female,Meetings,Train,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,19,Female,Sightseeing,Bus,Airbnb,"Clothes, Gadgets"
Adventure,Rainy,14,Other,Shopping,Flight,Tent,"Clothes, Gadgets"
Adventure,Hot,20,Male,Hiking,Flight,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,2,Male,Meetings,Train,Hotel,"Documents, Clothes, Toiletries"
Vacation,Cold,2,Male,Sightseeing,Flight,Airbnb,"Outdoor Gear, Clothes"
Adventure,Rainy,8,Other,Swimming,Train,Hostel,"Toiletries, Clothes, Gadgets"
Vacation,Hot,7,Female,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,5,Other,Shopping,Car,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,6,Other,Skiing,Bus,Airbnb,"Outdoor Gear, Clothes"
